tambon_code,dist_city_km,nearest_city,nearest_city_prov
361401,58.374,วิเชียรบุรี,เพชรบูรณ์
361402,39.638,วิเชียรบุรี,เพชรบูรณ์
361403,31.805,วิเชียรบุรี,เพชรบูรณ์
361404,50.157,วิเชียรบุรี,เพชรบูรณ์
361501,51.797,บัวใหญ่,นครราชสีมา
361502,45.218,บัวใหญ่,นครราชสีมา
361503,46.451,บัวใหญ่,นครราชสีมา
361504,53.326,บัวใหญ่,นครราชสีมา
361601,51.033,วิเชียรบุรี,เพชรบูรณ์
361602,62.043,วิเชียรบุรี,เพชรบูรณ์
361603,60.892,วิเชียรบุรี,เพชรบูรณ์
370101,68.753,แจระแม,อุบลราชธานี
370102,61.661,แจระแม,อุบลราชธานี
370103,63.467,แจระแม,อุบลราชธานี
370104,56.52,แจระแม,อุบลราชธานี
370105,65.545,แจระแม,อุบลราชธานี
370106,63.027,แจระแม,อุบลราชธานี
370107,74.443,แจระแม,อุบลราชธานี
370108,80.81,แจระแม,อุบลราชธานี
370109,68.607,แจระแม,อุบลราชธานี
370110,83.02,กุฉินารายณ์,กาฬสินธุ์
370111,76.748,แจระแม,อุบลราชธานี
370112,71.628,แจระแม,อุบลราชธานี
370113,74.931,แจระแม,อุบลราชธานี
370114,65.038,แจระแม,อุบลราชธานี
370115,62.158,แจระแม,อุบลราชธานี
370116,79.651,แจระแม,อุบลราชธานี
370117,65.204,แจระแม,อุบลราชธานี
370118,74.124,แจระแม,อุบลราชธานี
370119,76.616,แจระแม,อุบลราชธานี
370201,106.553,กุฉินารายณ์,กาฬสินธุ์
370202,99.688,แจระแม,อุบลราชธานี
370203,97.645,แจระแม,อุบลราชธานี
370204,89.804,แจระแม,อุบลราชธานี
370205,85.88,แจระแม,อุบลราชธานี
370301,76.897,แจระแม,อุบลราชธานี
370302,78.844,แจระแม,อุบลราชธานี
370303,70.207,แจระแม,อุบลราชธานี
370304,58.244,แจระแม,อุบลราชธานี
370305,64.377,แจระแม,อุบลราชธานี
370306,65.254,แจระแม,อุบลราชธานี
