tambon_code,dist_city_km,nearest_city,nearest_city_prov
401508,28.004,เมืองพล,ขอนแก่น
401509,13.407,เมืองพล,ขอนแก่น
401510,21.126,เมืองพล,ขอนแก่น
401511,16.55,เมืองพล,ขอนแก่น
401512,27.397,เมืองพล,ขอนแก่น
401601,40.122,ชุมแพ,ขอนแก่น
401604,51.215,ชุมแพ,ขอนแก่น
401605,40.079,ขอนแก่น,ขอนแก่น
401606,30.09,ชุมแพ,ขอนแก่น
401607,42.619,ศิลา,ขอนแก่น
401610,42.815,ชุมแพ,ขอนแก่น
401612,40.828,ศิลา,ขอนแก่น
401613,35.429,ชุมแพ,ขอนแก่น
401614,48.917,ศิลา,ขอนแก่น
401616,45.914,ชุมแพ,ขอนแก่น
401617,37.416,ชุมแพ,ขอนแก่น
401701,24.618,บ้านไผ่,ขอนแก่น
401702,23.149,บ้านไผ่,ขอนแก่น
401703,19.327,บ้านไผ่,ขอนแก่น
401704,29.36,บ้านไผ่,ขอนแก่น
401705,41.31,ขอนแก่น,ขอนแก่น
401706,32.053,บ้านไผ่,ขอนแก่น
401707,38.253,บ้านไผ่,ขอนแก่น
401710,28.975,บ้านไผ่,ขอนแก่น
401801,12.801,บ้านไผ่,ขอนแก่น
401802,13.848,บ้านไผ่,ขอนแก่น
401803,26.392,เมืองพล,ขอนแก่น
401804,19.062,บ้านไผ่,ขอนแก่น
401805,14.8,บ้านไผ่,ขอนแก่น
401806,14.351,บ้านไผ่,ขอนแก่น
401807,19.683,บ้านไผ่,ขอนแก่น
401808,14.428,เมืองพล,ขอนแก่น
401901,31.475,กระนวน,ขอนแก่น
401902,38.474,กระนวน,ขอนแก่น
401903,40.069,โนนสูง-น้ำคำ,อุดรธานี
401904,33.774,โนนสูง-น้ำคำ,อุดรธานี
401905,26.699,กระนวน,ขอนแก่น
402001,19.929,ชุมแพ,ขอนแก่น
402002,28.456,ชุมแพ,ขอนแก่น
402003,24.159,ชุมแพ,ขอนแก่น
402004,34.777,ชุมแพ,ขอนแก่น
402005,31.736,ชุมแพ,ขอนแก่น
402101,14.756,กระนวน,ขอนแก่น
402102,10.852,กระนวน,ขอนแก่น
402103,18.412,กระนวน,ขอนแก่น
402104,18.761,ศิลา,ขอนแก่น
402105,13.367,กระนวน,ขอนแก่น
402201,39.062,บ้านไผ่,ขอนแก่น
402202,33.277,เมืองพล,ขอนแก่น
402203,42.238,เมืองพล,ขอนแก่น
402204,31.235,บ้านไผ่,ขอนแก่น
402301,42.407,ชุมแพ,ขอนแก่น
402302,41.629,ชุมแพ,ขอนแก่น
402303,44.539,ชุมแพ,ขอนแก่น
402401,21.1,บ้านไผ่,ขอนแก่น
402402,17.829,บ้านไผ่,ขอนแก่น
402403,20.202,ขอนแก่น,ขอนแก่น
402404,18.885,บ้านไผ่,ขอนแก่น
402501,11.231,บ้านไผ่,ขอนแก่น
402502,10.439,บ้านไผ่,ขอนแก่น
402503,10.03,บ้านไผ่,ขอนแก่น
402504,7.672,บ้านไผ่,ขอนแก่น
402505,4.918,บ้านไผ่,ขอนแก่น
402901,30.671,ชุมแพ,ขอนแก่น
402902,23.158,ชุมแพ,ขอนแก่น
402903,36.371,ชุมแพ,ขอนแก่น
410101,0.474,อุดรธานี,อุดรธานี
410102,12.43,อุดรธานี,อุดรธานี
410103,11.529,หนองสำโรง,อุดรธานี
410104,3.856,อุดรธานี,อุดรธานี
410105,9.772,โนนสูง-น้ำคำ,อุดรธานี
410106,0.52,โนนสูง-น้ำคำ,อุดรธานี
410107,2.047,หนองสำโรง,อุดรธานี
410108,8.142,หนองสำโรง,อุดรธานี
410109,9.969,โนนสูง-น้ำคำ,อุดรธานี
410110,9.367,หนองสำโรง,อุดรธานี
410112,2.98,หนองสำโรง,อุดรธานี
410113,8.226,หนองสำโรง,อุดรธานี
410114,12.0,อุดรธานี,อุดรธานี
410115,17.203,โนนสูง-น้ำคำ,อุดรธานี
410116,13.608,หนองสำโรง,อุดรธานี
410117,7.54,อุดรธานี,อุดรธานี
410118,7.099,โนนสูง-น้ำคำ,อุดรธานี
410119,17.764,หนองสำโรง,อุดรธานี
410120,8.226,หนองสำโรง,อุดรธานี
410121,6.142,โนนสูง-น้ำคำ,อุดรธานี
410201,28.877,หนองสำโรง,อุดรธานี
410202,20.942,หนองสำโรง,อุดรธานี
410203,33.859,หนองสำโรง,อุดรธานี
410204,13.595,หนองสำโรง,อุดรธานี
410205,28.777,หนองสำโรง,อุดรธานี
410206,21.727,หนองสำโรง,อุดรธานี
410207,37.374,หนองสำโรง,อุดรธานี
410301,25.369,โนนสูง-น้ำคำ,อุดรธานี
410302,32.557,โนนสูง-น้ำคำ,อุดรธานี
410303,35.798,โนนสูง-น้ำคำ,อุดรธานี
410304,33.643,โนนสูง-น้ำคำ,อุดรธานี
410305,32.295,หนองสำโรง,อุดรธานี
410306,21.919,อุดรธานี,อุดรธานี
410307,33.587,โนนสูง-น้ำคำ,อุดรธานี
410308,27.983,อุดรธานี,อุดรธานี
410401,26.101,โนนสูง-น้ำคำ,อุดรธานี
410402,19.524,โนนสูง-น้ำคำ,อุดรธานี
410403,33.877,โนนสูง-น้ำคำ,อุดรธานี
410404,29.326,โนนสูง-น้ำคำ,อุดรธานี
410406,21.063,โนนสูง-น้ำคำ,อุดรธานี
410407,28.323,โนนสูง-น้ำคำ,อุดรธานี
410409,10.118,โนนสูง-น้ำคำ,อุดรธานี
410410,33.315,กระนวน,ขอนแก่น
410411,26.586,โนนสูง-น้ำคำ,อุดรธานี
410413,16.374,โนนสูง-น้ำคำ,อุดรธานี
410414,25.839,กระนวน,ขอนแก่น
410415,26.729,โนนสูง-น้ำคำ,อุดรธานี
410416,32.07,โนนสูง-น้ำคำ,อุดรธานี
410501,35.598,กระนวน,ขอนแก่น
410502,31.5,กระนวน,ขอนแก่น
410503,35.093,โนนสูง-น้ำคำ,อุดรธานี
410504,24.367,กระนวน,ขอนแก่น
410505,28.325,โนนสูง-น้ำคำ,อุดรธานี
410506,32.508,กระนวน,ขอนแก่น
410601,28.608,โนนสูง-น้ำคำ,อุดรธานี
410602,36.182,โนนสูง-น้ำคำ,อุดรธานี
410605,29.962,โนนสูง-น้ำคำ,อุดรธานี
410606,32.222,บ้านดุง,อุดรธานี
410607,28.296,โนนสูง-น้ำคำ,อุดรธานี
410609,34.242,บ้านดุง,อุดรธานี
410610,34.45,บ้านดุง,อุดรธานี
410611,15.274,โนนสูง-น้ำคำ,อุดรธานี
410612,18.409,โนนสูง-น้ำคำ,อุดรธานี
410614,25.723,โนนสูง-น้ำคำ,อุดรธานี
410617,21.676,โนนสูง-น้ำคำ,อุดรธานี
410618,39.647,บ้านดุง,อุดรธานี
410701,23.408,บ้านดุง,อุดรธานี
410702,27.337,บ้านดุง,อุดรธานี
410703,18.156,บ้านดุง,อุดรธานี
410704,21.28,บ้านดุง,อุดรธานี
410801,42.512,โนนสูง-น้ำคำ,อุดรธานี
410802,39.793,โนนสูง-น้ำคำ,อุดรธานี
410803,55.459,บ้านดุง,อุดรธานี
410804,47.958,โนนสูง-น้ำคำ,อุดรธานี
410901,35.336,กระนวน,ขอนแก่น
410902,36.967,กระนวน,ขอนแก่น
410903,33.249,กระนวน,ขอนแก่น
410904,48.504,กระนวน,ขอนแก่น
410905,43.955,กระนวน,ขอนแก่น
410906,37.594,กระนวน,ขอนแก่น
410907,39.712,กระนวน,ขอนแก่น
411001,56.72,กระนวน,ขอนแก่น
411002,43.291,กระนวน,ขอนแก่น
411003,56.405,กระนวน,ขอนแก่น
411004,67.677,สกลนคร,สกลนคร
411005,44.083,กระนวน,ขอนแก่น
411006,50.252,กระนวน,ขอนแก่น
411101,2.368,บ้านดุง,อุดรธานี
