PROV_CODE,PROV_NAM_T,AMP_CODE,AMPHOE_T,TAM_CODE,TAM_NAM_T,tambon_area_rai,share_agriculture,share_forest,share_urban,share_water,share_misc,dominant_landuse,dominant_subtype,dominant_subtype_code,landuse_hhi,landuse_diversity,dominant_landuse_map
86,จ.ชุมพร,01,อ.เมืองชุมพร,01,ต.ท่าตะเภา,1549.8867435026157,0.00452380437216774,0.0,0.9714746297618532,0.02400156586597904,0.0,urban,ตัวเมืองและย่านการค้า,U101,0.9443594962409462,0.05564050375905383,urban
86,จ.ชุมพร,01,อ.เมืองชุมพร,02,ต.ปากน้ำ,11505.823284584101,0.5432483366848988,0.16996190703763697,0.18577838411758438,0.03565470832619834,0.06535666383368151,agriculture,สถานที่เพาะเลี้ยงกุ้ง,A903,0.3640621648934154,0.6359378351065845,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,03,ต.ท่ายาง,23654.138006920286,0.7161837671457018,0.14064662807768238,0.09758785291597762,0.02387142408910525,0.021710327771532992,agriculture,ปาล์มน้ำมัน,A303,0.5432652345693704,0.45673476543062963,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,04,ต.บางหมาก,25667.179692951086,0.8228214992135751,0.01594034641806272,0.1286514679217721,0.01956046304205536,0.013026223404534703,agriculture,ปาล์มน้ำมัน,A303,0.6943928086210345,0.3056071913789655,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,05,ต.นาทุ่ง,11387.43934804977,0.4849934921623919,0.08626836803696535,0.3158453926709866,0.07085109770164622,0.042041649428009906,agriculture,ปาล์มน้ำมัน,A303,0.3492066091672791,0.6507933908327209,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,06,ต.นาชะอัง,22284.5975996856,0.6749818006040732,0.03977401444994153,0.15577463905037398,0.03360479064073335,0.09586475525487798,agriculture,ปาล์มน้ำมัน,A303,0.49176747479754046,0.5082325252024595,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,07,ต.ตากแดด,17515.431082819876,0.7189596414810792,0.016672171851633576,0.19903985129316162,0.02214540875784994,0.04318292661627564,agriculture,ปาล์มน้ำมัน,A303,0.5591529740758551,0.44084702592414493,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,08,ต.บางลึก,24735.497109789238,0.7041498261787998,0.0746871899308422,0.12717925223006785,0.06538965096596233,0.028594080694327763,agriculture,ปาล์มน้ำมัน,A303,0.522673144149403,0.477326855850597,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,09,ต.หาดพันไกร,20928.789843529445,0.8368369284725969,0.04499071822543272,0.07039606002878383,0.01667165065241241,0.031104642620774132,agriculture,ปาล์มน้ำมัน,A303,0.708521257577509,0.29147874242249106,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,10,ต.วังไผ่,19826.93264167432,0.6803813801537765,0.014278707267455762,0.25178733600536957,0.015026431143312069,0.03852614543008622,agriculture,ปาล์มน้ำมัน,A303,0.5282296240284731,0.47177037597152693,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,11,ต.วังใหม่,61536.94155238978,0.6694937125398446,0.2565839934909414,0.06231028975572639,0.004807719397366287,0.006804284816121308,agriculture,ยางพารา,A302,0.5180091615132487,0.4819908384867513,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,12,ต.บ้านนา,122345.96249666787,0.46295756395966675,0.5084792296618288,0.017161762924823163,0.004943780912015022,0.00645766254166634,forest,ป่าไม่ผลัดใบสมบูรณ์,F101,0.4732415015068516,0.5267584984931484,forest
86,จ.ชุมพร,01,อ.เมืองชุมพร,13,ต.ขุนกระทิง,12969.894225242531,0.6334917832230836,0.11699410796304202,0.1521495115977616,0.016454042315129012,0.08091055490098376,agriculture,ปาล์มน้ำมัน,A303,0.44496618799156085,0.5550338120084392,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,14,ต.ทุ่งคา,44011.50846472036,0.7120981310698458,0.18775703330099477,0.057230268483373294,0.017799814011071766,0.02511475313471438,agriculture,ปาล์มน้ำมัน,A303,0.5465593396616835,0.45344066033831654,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,15,ต.วิสัยเหนือ,36954.74027141594,0.7971124265650614,0.1423759928851969,0.044903788417716355,0.005238957377721632,0.01036883475430365,agriculture,ปาล์มน้ำมัน,A303,0.6578104535573168,0.3421895464426832,agriculture
86,จ.ชุมพร,01,อ.เมืองชุมพร,16,ต.หาดทรายรี,19447.590858994867,0.5065594643296731,0.3374652892056024,0.05389880822202732,0.05254429349400426,0.049532144748692754,agriculture,ปาล์มน้ำมัน,A303,0.3786047299905307,0.6213952700094694,agriculture
